interval_start,interval_end,song_url,value_type,value
190,192,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
192,194,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
194,196,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
196,198,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
198,200,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
200,202,songs/nobody_beats_the_drum.mp3,tempo,89.10290948275862
202,204,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
204,206,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
206,208,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
208,210,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
210,212,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
212,214,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
214,216,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
216,218,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
218,220,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
220,222,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
222,224,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
224,226,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
226,228,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
228,230,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
230,232,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
232,234,songs/nobody_beats_the_drum.mp3,tempo,89.10290948275862
234,236,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
236,238,songs/nobody_beats_the_drum.mp3,tempo,86.1328125
238,240,songs/nobody_beats_the_drum.mp3,tempo,86.1328125
240,242,songs/nobody_beats_the_drum.mp3,tempo,86.1328125
242,244,songs/nobody_beats_the_drum.mp3,tempo,89.10290948275862
244,246,songs/nobody_beats_the_drum.mp3,tempo,123.046875
246,248,songs/nobody_beats_the_drum.mp3,tempo,117.45383522727273
248,250,songs/nobody_beats_the_drum.mp3,tempo,198.76802884615384
250,252,songs/nobody_beats_the_drum.mp3,tempo,123.046875
252,254,songs/nobody_beats_the_drum.mp3,tempo,123.046875
254,256,songs/nobody_beats_the_drum.mp3,tempo,135.99917763157896
256,258,songs/nobody_beats_the_drum.mp3,tempo,103.359375
258,260,songs/nobody_beats_the_drum.mp3,tempo,117.45383522727273
260,262,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
262,264,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
264,266,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
266,268,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
268,270,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
270,272,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
272,274,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
274,276,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
276,278,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
278,280,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
280,282,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
282,284,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
284,286,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
286,288,songs/nobody_beats_the_drum.mp3,tempo,198.76802884615384
288,290,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
290,292,songs/nobody_beats_the_drum.mp3,tempo,234.90767045454547
292,294,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
294,296,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
296,298,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
298,300,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
300,302,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
302,304,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
304,306,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
306,308,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
308,310,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
310,312,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
312,314,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
314,316,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
316,318,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
318,320,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
320,322,songs/nobody_beats_the_drum.mp3,tempo,151.99908088235293
322,324,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
324,326,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
326,328,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
328,330,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
330,332,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
332,334,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
334,336,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
336,338,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
338,340,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
340,342,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
342,344,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
344,346,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
346,348,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
348,350,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
350,352,songs/nobody_beats_the_drum.mp3,tempo,172.265625
352,354,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
354,356,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
356,358,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
358,360,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
360,362,songs/nobody_beats_the_drum.mp3,tempo,258.3984375
362,364,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
364,366,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
366,368,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
368,370,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
370,372,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
372,374,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
374,376,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
376,378,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
378,380,songs/nobody_beats_the_drum.mp3,tempo,129.19921875
380,382,songs/nobody_beats_the_drum.mp3,tempo,172.265625
